NO,KODE,NAMA ITEM,SATUAN,kategori,Harga
1,,Ribbon Cart. Epson LQ2180 / LQ2190,Buah,Supplies,90000
2,,"Toner HP Laser Jet  26A, Premium (A)",SET,Supplies,450000
3,,"Toner Color HP LJ CF510 - 204A Black, Premium (A)",Buah,Supplies,390000
4,,"Toner Color HP LJ CF511 - 204A Cyan, Premium (A)",Buah,Supplies,390000
5,,"Toner Color HP LJ CF512 - 204A Yellow, Premium (A)",Buah,Supplies,390000
6,,"Toner Color HP LJ CF513 - 204A Magenta, Premium (A)",Buah,Supplies,390000
7,,"Toner Cartridge HP CF276A, with chip",Buah,Supplies,720000
8,, Ballpoint Pentel I ,Buah,ATK,88800
9,, Isi Ball Point Pentel ,Buah,ATK,25200
10,, Baterai Alkaline A2 / A3 ,Pasang,ATK,16300
11,, Baterai Alkaline A2 / A4 ,Pasang,ATK,16300
12,, Baterai Alkaline A2 / A5 ,Pasang,ATK,16300
13,, Kertas HVS 70 Gram A4 - SIDU ,RIM,ATK,53000
14,, Lem Povinal ,BOX,ATK,63800
15,, Box dosir ,Buah,ATK,9500
16,, Pensil 2B ,Buah,ATK,4200
17,, Kertas Corcorde ,PAK,ATK,25000
18,, Boll paint Uni-Ball ,Buah,ATK,30000
19,,Ballpoint Snowman BP-7,PAK,ATK,25086
20,,Ballpoint Snowman BP-8,PAK,ATK,25086
21,,Ballpoint Snowman BP-9,PAK,ATK,25086
22,,Ballpoint Snowman BP-10,PAK,ATK,25086
23,,Ballpoint Snowman BP-11,PAK,ATK,25086
24,,BATU BATERAY A3,Pasang,ATK,16300
25,,BATU BATERAY A4,Pasang,ATK,16300
26,,BATU BATERAY A5,Pasang,ATK,16300
27,,BATU BATERAY A6,Pasang,ATK,16300
28,,BATU BATERAY A7,Pasang,ATK,16300
29,,KERTAS HVS A4 70 GRAM,RIM,ATK,54100
30,,KERTAS ART PAPER,PAK,ATK,6300
31,,TERMALROLL,PCS,ATK,21900
32,,BALLPOINT PENTEL,PCS,ATK,88800
33,,HECMACHINE KECIL HD 10 MAX,PCS,ATK,16900
34,,LEM PUTIH FOX,Bungkus,ATK,23100
35,,BOX FILE,PCS,ATK,9500
36,,TONER LASERJET HP 80A,PCS,Supplies,410000
37,,TONER LASERJET HP 48A,PCS,Supplies,354000
38,,MOUSE WIRELESS + KEYBOARD LOGITECH,SET,Supplies,305000
39,,TONER HP LASERJET 204A BLACK,PCS,Supplies,390000
40,,TONER HP LASERJET 204A CYAN,PCS,Supplies,390000
41,,TONER HP LASERJET 204A YELLOW,PCS,Supplies,390000
42,,TONER HP LASERJET 204A MAGENTA,PCS,Supplies,390000
